nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268320030024,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306033025,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331033041,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331035041,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306029025,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310063243,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310097014,Minuman Teh Rasa Vanila,S-tee,Karton Laminat, (330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 166510170047,Minuman Teh Berkarbonasi Rasa Rosella,TEBS,Botol Kaca, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310172047,Minuman Teh Tawar,SOSRO - Khusus Ekspor,Botol Plastik, (350ml; 450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331068072,MINUMAN TEH MELATI,TIPTOP CLASSIC,Botol Plastik PET, (330ml; 350ml; 500ml; 1000ml),PT INDOSARI SARANA PANGAN ABADI, Kab. Tangerang, Banten
MD 468313015034,Minuman Teh Rasa Stroberi,SOSRO,Tetrapak, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311025062,Minuman Teh Hijau,Canting,Gelas Plastik, (130ml; 200ml; 300ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268320029024,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320028024,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310062243,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331032041,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 468309271060,Minuman Teh Hijau Dengan Aroma Bunga Melati,DRINHO,Karton Laminat, (250ml; 1000ml),PT INTERFOOD SUKSES JASINDO, Kota Jakarta Pusat, DKI Jakarta
ML 166609041689,Minuman Teh dengan Selasih (Thai Tea Drink with Basil Seed),VFRESH,Botol Kaca, (290ml),PT EAKINDO MITRA SASTARI, Kota Jakarta Utara, DKI Jakarta
ML 268309012642,Minuman Teh Oolong ,ITO EN,Botol Plastik,  (500ml),PT ITO EN Ultrajaya Wholesale, Kota Jakarta Selatan, DKI Jakarta
ML 168309009689,Minuman Teh Hijau dengan Selalsih (Green Tea Drink With Basil Seed),VFRESH,Botol Kaca, (290ml),PT EAKINDO MITRA SASTARI, Kota Jakarta Utara, DKI Jakarta
MD 268313015045,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306026025,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313044046,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311040184,minuman teh hijau, jawa,Gelas Plastik, (180ml),PT SARI MELATI SEJAHTERA, Kota Pekalongan, Jawa Tengah
MD 268320027024,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310157047,Minuman Teh Hijau Aroma Melati,SOSRO - JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331004009,Minuman Teh Rasa Jambu Klutuk,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331007009,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331003009,Minuman Teh Rasa Apel Blackcurrant (Fruit Tea X-Treme),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331013009,Minuman Teh Rasa Lemon,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268328002229,Minuman Teh Rasa Melati,Semesta,Gelas Plastik, (170ml; 180ml),PT AMAN FOOD INDUSTRI, Kota Jakarta Utara, DKI Jakarta
MD 268311024062,Minuman Teh Hijau Berperisa Leci,Seduh Segar,Gelas Plastik, (180ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 468310086014,Minuman Teh Hijau Rasa Jeruk Yuzu,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313052006,Minuman teh Hitam Rasa Earl Grey Tawar,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268328001259,Minuman Teh Dalam Kemasan,OURT!,Gelas Plastik, (130ml),CV KARYA KENCANA PUTRA, Kab. Bandung Barat, Jawa Barat
MD 268313051006,Minuman Teh Hitam English Breakfast (Tawar),Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268331031041,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310061243,Minuman Teh Rasa Jambu,OT Vitamintea,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310006043,Minuman Teh Melati,Nugra,Botol Plastik, (350ml),PT NUGRA HIDRATAMA, Kab. Bekasi, Jawa Barat
MD 268306004016,Minuman Teh Melati,SOSRO,Botol Plastik, (340ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310017015,Minuman Teh Melati,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320026024,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310169047,Minuman Teh Hijau Rasa Kamomil Serai,SOSRO - JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313043046,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 566510094014,Minuman Teh Berkarbonasi Rasa Rosella,TEBS,Kaleng, (330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268328109054,Minuman Teh Rasa Vanila Pandan (Soothe Me Vanilla Pandan),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 268311023062,Minuman Teh Hijau Berperisa Mangga,Seduh Segar,Gelas Plastik, (180ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268310059243,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310026015,Minuman Teh Melati,SOSRO,Karton Laminat, (200ml; 250ml; 330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331029041,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313042046,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331028041,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313030046,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306023025,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320025024,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313041046,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331027041,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306024025,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311022062,Minuman Teh Hijau,Eksotea,Gelas Plastik, (180ml),PT STARFOOD JAYA PRIMA, Kab. Kudus, Jawa Tengah
MD 268313014045,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 668322010001,Minuman Teh Rasa Apel,SOSRO,Pouch Aluminium Foil, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468313018034,Minuman Teh Rasa Apel Blackcurrant,SOSRO,Tetrapak, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268322012001,Minuman Teh Melati,SOSRO,Botol Plastik, (340ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331026041,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310158047,Minuman Teh Hijau Rasa Madu Lemon,SOSRO - JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331060072,MINUMAN TEH TAWAR,EMBROSE TIPTOP,Botol Plastik PET, (330ml; 350ml; 500ml; 1000ml),PT INDOSARI SARANA PANGAN ABADI, Kab. Tangerang, Banten
MD 268313040046,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320024024,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306022025,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313050006,Minuman Teh Hitam Earl Grey Tawar,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 266613001153,Minuman Teh Aroma Melati,Kusuma Agrowisata - Siiplah,Gelas Plastik, (180ml),PT MANNASATRIA KUSUMAJAYA PERKASA, Kota Batu, Jawa Timur
MD 266613009153,Minuman Teh Rasa Melon,Kusuma Agrowisata - Siiplah,Gelas Plastik, (180ml),PT MANNASATRIA KUSUMAJAYA PERKASA, Kota Batu, Jawa Timur
MD 268313018153,Minuman Teh Aroma Melati,Kusuma Agrowisata,Gelas Plastik, (120ml),PT MANNASATRIA KUSUMAJAYA PERKASA, Kota Batu, Jawa Timur
MD 268313039046,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306021025,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313018033,Minuman Teh Melati,SOSRO,Botol Plastik, (350ml; 450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313047006,Minuman Teh Rasa Melati,Sepet Wangi,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268322007001,Minuman Teh Rasa Stroberi Anggur (Fruit Tea Freeze),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331025041,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313033033,Minuman Teh Hijau Aroma Melati,SOSRO - JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320023024,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313038046,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331024041,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313012045,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331018041,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306013025,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328004095,Minuman Teh Melati,AJE AZLI,Botol Plastik, (350ml; 500ml; 1500ml),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 268310054243,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306020025,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310055243,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320021024,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320022024,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320019024,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313036046,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306018025,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331021041,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331016041,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310009043,Minuman Teh Rasa Lemon,Nugra,Botol Plastik, (350ml),PT NUGRA HIDRATAMA, Kab. Bekasi, Jawa Barat
MD 268320012024,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313027046,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313005045,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328104054,Minuman Teh Rasa Toasted Rice (Power Me Toasted Rice),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 268328103054,Minuman Teh Rasa Vanila Pandan (Soothe Me Vanilla Pandan),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 268320010024,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468313019034,Minuman Teh Rasa Apel,SOSRO,Tetrapak, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320011129,Minuman Teh Beraroma Melati,tehicha,Botol Plastik, (200ml; 350ml),PT MEKAR MANDIRI MAKMUR, Kota Makassar, Sulawesi Selatan
MD 268331012009,Minuman Teh Melati,SOSRO,Botol Plastik, (340ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310049243,Minuman Teh Rasa Leci,OT,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313049006,Minuman Teh Hitam English Breakfast Tawar,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310020243,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313008045,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 268302073644,Minuman Teh (Gran Tea Drink Straight),SANGARIA,Plastik, (500ml),PT MAHKOTA LIMA MAS, Kota Medan, Sumatera Utara
ML 468309050001,Minuman Teh Putih-Elderflower Rasa Lemon (The White Lemon-Elderflower),Pfanner,Karton Laminat, (2000ml),CV FERMANTO BEVFOODS, Kota Jakarta Pusat, DKI Jakarta
MD 468313016034,Minuman Teh Rasa Jambu Klutuk,SOSRO,Tetrapak, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 668313010034,Minuman Teh Rasa Apel,SOSRO,Pouch Aluminium Foil, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 668313009034,Minuman Teh Rasa Blackcurrant,SOSRO,Pouch Aluminium Foil, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311005021,Minuman Teh Rasa Jambu Klutuk,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 469009063013,Minuman Teh Krisantemum,ABC,Karton Laminat, (250ml),PT HEINZ ABC INDONESIA, Kota Jakarta Barat, DKI Jakarta
MD 268311002021,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310046243,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320016024,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306017025,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310044243,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320017024,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313034046,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268322015001,Minuman Teh Rasa Lemon,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310002045,Minuman Teh Hijau Rasa Melon (Honeydew Green Tea Drink),Futami 17,Botol Plastik, (485ml),PT FUTAMI FOOD & BEVERAGES, Kota Jakarta Utara, DKI Jakarta
MD 268306016025,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310162047,Minuman Teh Hijau Rasa Madu Mint,SOSRO - JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310029014,Minuman Teh Melati,SOSRO,Karton Laminat, (200ml; 250ml; 330ml; 1000ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310045243,Minuman Teh Rasa Lemon,OT,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313001234,Minuman Teh Beraroma Melati,Mangoen,Gelas Plastik, (240ml),PT TIRTA INTI MANDIRI, Kab. Mojokerto, Jawa Timur
MD 268306011016,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin (Fruit Tea Freeze),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310022208,Minuman Teh Hijau Dengan Madu,Fiesta,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
ML 268309015510, Minuman Teh Hijau (Brown Rice Tea), TOPVALU,Botol Plastik, (500ml),PT AEON INDONESIA, Kota Jakarta Pusat, DKI Jakarta
ML 268302071644,Minuman Teh (Gran Tea Drink),SANGARIA,Botol Plastik, (500ml),PT MAHKOTA LIMA MAS, Kota Medan, Sumatera Utara
MD 268310043033,Minuman Teh Rasa Madu,Nü,Botol Plastik, (330ml),PT ABC President Indonesia, Kota Jakarta Selatan, DKI Jakarta
ML 168309258090,Minuman Teh Rasa Persik (Peach Tea),JOE,Botol Kaca, (591ml),CV LIBRA FOOD SERVICE, Kota Jakarta Barat, DKI Jakarta
MD 268306007016,Minuman Teh Rasa Lemon,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306009016,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306008016,Minuman Teh Rasa Apel Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313010045,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311039184,minuman teh hijau,Cap Jawa,Botol Plastik, (350ml),PT SARI MELATI SEJAHTERA, Kota Pekalongan, Jawa Tengah
MD 268310024208,Minuman Teh Hijau ,CHAOH,Botol Plastik, (450 Mililter),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268313025034,Minuman Teh Rasa Lemon,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268322003001,Minuman Teh Rasa Apel-Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 168310161047,Minuman Teh Rasa Markisa,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 268302061644,Minuman Teh Rasa Lemon (Gran Tea Drink Lemon),SANGARIA,Botol Plastik, (500ml),PT MAHKOTA LIMA MAS, Kota Medan, Sumatera Utara
MD 268313020034,Minuman Teh Melati,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313011034,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310061032,Minuman Teh Melati,Frestea ,Gelas Plastik, (296ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268302001127,Minuman Teh (Original),X-TEH,Gelas Plastik, (150ml; 160ml; 170ml; 180ml; 210ml),PT SARI KEBUN ALAM, Kab. Deli Serdang, Sumatera Utara
MD 268302005127,Minuman Teh dengan Madu,X-TEH,Gelas Plastik, (150ml; 160ml; 170ml; 180ml; 210ml),PT SARI KEBUN ALAM, Kab. Deli Serdang, Sumatera Utara
MD 268302006127,Minuman Teh Manis,X-TEH,Gelas Plastik, (150ml; 160ml; 170ml; 180ml; 210ml),PT SARI KEBUN ALAM, Kab. Deli Serdang, Sumatera Utara
MD 268302009127,Minuman Teh Hijau,X-TEH,Gelas Plastik, (150ml; 160ml; 170ml; 180ml; 210ml),PT SARI KEBUN ALAM, Kab. Deli Serdang, Sumatera Utara
MD 268302011127,Minuman Teh dengan Cincau,X-TEH,Gelas Plastik, (150ml; 160ml; 170ml; 180ml; 210ml),PT SARI KEBUN ALAM, Kab. Deli Serdang, Sumatera Utara
MD 268306002016,Minuman Teh Rasa Apel (Fruit Tea Apple),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310038014,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306001016,Minuman Teh Rasa Jambu Klutuk (Fruit Tea Guava),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310011129,Minuman Teh Rasa Blackcurrant,TEH KOTAK,Karton Laminat, (200ml; 250ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 268322006001,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
